"knapsack","kegg"
"C00001947","C09881"
"C00001948","C09883"
"C00001949","C09886"
"C00001950","C09888"
"C00001951","C09889"
"C00001952","C09890"
"C00001953","C09891"
"C00001954","C09892"
"C00001955","C09895"
"C00001956","C09897"
"C00001957","C09899"
"C00001958","C09901"
"C00001959","C09903"
"C00001960","C09907"
"C00001961","C09910"
"C00001962","C09912"
"C00001963","C09914"
"C00001964","C09915"
"C00001965","C09933"
"C00001966","C09934"
"C00001967","C09935"
"C00001968","C09937"
"C00001969","C09940"
"C00001970","C09943"
"C00001971","C09945"
"C00001972","C09946"
"C00001973","C09949"
"C00001974","C09957"
"C00001975","C09960"
"C00001976","C09961"
"C00001977","C06525"
"C00001978","C09962"
"C00001979","C09984"
"C00001980","C09985"
"C00001981","C09986"
"C00001982","C09987"
"C00001983","C09988"
"C00001984","C09989"
"C00001985","C09990"
"C00001986","C09991"
"C00001987","C09992"
"C00001988","C09993"
"C00001989","C09994"
"C00001990","C09995"
"C00001991","C09996"
"C00001992","C09997"
"C00001993","C09998"
"C00001994","C09999"
"C00001995","C10000"
"C00001996","C10001"
"C00001997","C10002"
"C00001998","C10003"
"C00001999","C10004"
"C00002000","C10005"
"C00002001","C10006"
"C00002002","C10007"
"C00002003","C10008"
"C00002004","C10009"
"C00002005","C10010"
"C00002006","C10011"
"C00002007","C10012"
"C00002008","C10013"
"C00002009","C10014"
"C00002010","C10015"
"C00002011","C10016"
"C00002012","C10123"
"C00002013","C10124"
"C00002014","C10125"
"C00002015","C11357"
"C00002016","C06183"
"C00002016","C11358"
"C00002017","C10126"
"C00002018","C10127"
"C00002019","C10128"
"C00002020","C10129"
"C00002021","C10130"
"C00002022","C10131"
"C00002023","C10132"
"C00002024","C10133"
"C00002025","C10134"
"C00002026","C10135"
"C00002027","C10136"
"C00002028","C02256"
"C00002029","C10137"
"C00002030","C10138"
"C00002031","C06523"
"C00002032","C10139"
"C00002033","C10140"
"C00002034","C06521"
"C00002035","C10141"
"C00002036","C10142"
"C00002037","C10143"
"C00002038","C10144"
"C00002039","C10145"
"C00002040","C10146"
"C00002041","C10147"
"C00002042","C10148"
"C00002043","C10149"
"C00002044","C10150"
"C00002045","C10151"
"C00002046","C06179"
"C00002046","C11359"
"C00002047","C10152"
"C00002048","C10153"
"C00002049","C10154"
"C00002050","C10155"
"C00002051","C10156"
"C00002052","C10157"
"C00002053","C07475"
"C00002054","C10158"
"C00002055","C10159"
"C00002056","C10160"
"C00002057","C00745"
"C00002057","C16150"
"C00002058","C10161"
"C00002059","C10162"
"C00002060","C10163"
"C00002061","C11360"
"C00002062","C06182"
"C00002063","C10164"
"C00002064","C10165"
"C00002065","C03882"
"C00002066","C10166"
"C00002067","C10167"
"C00002068","C10168"
"C00002069","C01526"
"C00002070","C10169"
"C00002071","C10170"
"C00002072","C10171"
"C00002074","C10172"
"C00002075","C10173"
"C00002076","C10174"
"C00002077","C10263"
"C00002078","C10277"
"C00002079","C10278"
"C00002080","C10279"
"C00002081","C10280"
"C00002082","C10282"
"C00002083","C10284"
"C00002084","C10286"
"C00002085","C10299"
"C00002086","C10301"
"C00002087","C10304"
"C00002088","C10319"
"C00002089","C10321"
"C00002090","C10324"
"C00002091","C10326"
"C00002092","C10328"
"C00002093","C10330"
"C00002094","C10333"
"C00002095","C10336"
"C00002096","C10339"
"C00002097","C10341"
"C00002098","C10344"
"C00002099","C10347"
"C00002100","C10348"
"C00002101","C10350"
"C00002102","C10353"
"C00002103","C10356"
"C00002104","C10357"
"C00002105","C10359"
"C00002106","C10361"
"C00002107","C10363"
"C00002108","C06177"
"C00002109","C10364"
"C00002110","C10375"
"C00002111","C10378"
"C00002112","C10380"
"C00002113","C10383"
"C00002114","C10386"
"C00002115","C10388"
"C00002116","C06176"
"C00002117","C10391"
"C00002118","C10393"
"C00002119","C10396"
"C00002120","C10400"
"C00002121","C10403"
"C00002122","C10408"
"C00002123","C10409"
"C00002124","C10410"
"C00002125","C10411"
"C00002126","C10412"
"C00002127","C10413"
"C00002128","C10629"
"C00002129","C10631"
"C00002130","C10632"
"C00002131","C10634"
"C00002132","C10635"
"C00002133","C10637"
"C00002134","C10639"
"C00002135","C10641"
"C00002136","C10642"
"C00002137","C10643"
"C00002138","C10644"
"C00002139","C10645"
"C00002140","C10647"
"C00002141","C10648"
"C00002142","C10649"
"C00002143","C10652"
"C00002144","C10653"
"C00002145","C01897"
"C00002146","C10654"
"C00002147","C11379"
"C00002148","C10655"
"C00002149","C10656"
"C00002150","C10659"
"C00002151","C10660"
"C00002152","C10661"
"C00002153","C10662"
"C00002154","C10663"
"C00002155","C10665"
"C00002156","C10666"
"C00002157","C10668"
"C00002158","C10670"
"C00002159","C10676"
"C00002160","C10677"
"C00002161","C10678"
"C00002162","C10679"
"C00002163","C10681"
"C00002164","C10683"
"C00002165","C10685"
"C00002166","C10686"
"C00002167","C10687"
"C00002168","C10688"
"C00002169","C10689"
"C00002170","C10691"
"C00002171","C10692"
"C00002172","C10694"
"C00002173","C10696"
"C00002174","C10697"
"C00002175","C10698"
"C00002176","C10699"
"C00002177","C10701"
"C00002178","C10703"
"C00002179","C10705"
"C00002180","C10710"
"C00002181","C10711"
"C00002182","C10713"
"C00002183","C10714"
"C00002184","C10716"
"C00002185","C10718"
"C00002186","C10722"
"C00002187","C10724"
"C00002188","C10727"
"C00002189","C10731"
"C00002190","C10732"
"C00002191","C10733"
"C00002192","C10734"
"C00002193","C06526"
"C00002194","C10735"
"C00002195","C10736"
"C00002196","C10738"
"C00002197","C10739"
"C00002198","C10740"
"C00002199","C10741"
"C00002200","C10742"
"C00002201","C10743"
"C00002202","C10744"
"C00002203","C10745"
"C00002204","C10747"
"C00002205","C10748"
"C00002207","C10750"
"C00002208","C10751"
"C00002209","C10752"
"C00002210","C10753"
"C00002211","C10754"
"C00002212","C10755"
"C00002213","C10756"
"C00002214","C10757"
"C00002215","C10758"
"C00002216","C10760"
"C00002217","C10762"
"C00002218","C10763"
"C00002219","C10764"
"C00002220","C10767"
"C00002221","C02621"
"C00002222","C10768"
"C00002223","C10769"
"C00002224","C10771"
"C00002225","C10772"
"C00002226","C10773"
"C00002227","C10774"
"C00002228","C10775"
"C00002229","C10776"
"C00002230","C10777"
"C00002231","C10778"
"C00002232","C10779"
"C00002233","C10780"
"C00002234","C10781"
"C00002235","C10782"
"C00002236","C10783"
"C00002237","C10786"
"C00002238","C10789"
"C00002239","C10790"
"C00002240","C10791"
"C00002241","C10795"
"C00002242","C10796"
"C00002243","C06545"
"C00002244","C10797"
"C00002245","C10798"
"C00002246","C10799"
"C00002247","C10801"
"C00002248","C10803"
"C00002249","C10806"
"C00002250","C10807"
"C00002251","C10808"
"C00002252","C10810"
"C00002253","C10811"
"C00002254","C10813"
"C00002255","C10814"
"C00002256","C10815"
"C00002257","C10816"
"C00002258","C10817"
"C00002259","C10818"
"C00002260","C10819"
"C00002261","C06543"
"C00002262","C10820"
"C00002263","C10821"
"C00002264","C10822"
"C00002265","C10824"
"C00002266","C10825"
"C00002267","C10826"
"C00002268","C10827"
"C00002269","C10828"
"C00002270","C10829"
"C00002271","C10830"
"C00002272","C10831"
"C00002273","C10841"
"C00002274","C10842"
"C00002275","C10843"
"C00002276","C10844"
"C00002277","C01479"
"C00002278","C10845"
"C00002279","C10846"
"C00002280","C10847"
"C00002281","C10849"
"C00002282","C10850"
"C00002283","C10851"
"C00002284","C10852"
"C00002285","C01416"
"C00002286","C10853"
"C00002287","C10854"
"C00002288","C10855"
"C00002289","C10856"
"C00002290","C10857"
"C00002291","C10858"
"C00002292","C01851"
"C00002293","C02046"
"C00002294","C10859"
"C00002295","C10860"
"C00002296","C10861"
"C00002297","C10862"
"C00002298","C10863"
"C00002299","C10864"
"C00002300","C10865"
"C00002301","C02066"
"C00002302","C10866"
"C00002303","C10867"
"C00002304","C10868"
"C00002305","C10848"
"C00002306","C00729"
"C00002307","C10869"
"C00002309","C10564"
"C00002310","C10565"
"C00002311","C10566"
"C00002312","C10567"
"C00002313","C10568"
"C00002314","C10569"
"C00002315","C10570"
"C00002316","C10571"
"C00002317","C10572"
"C00002318","C10573"
"C00002319","C10575"
"C00002320","C10576"
"C00002321","C10577"
"C00002322","C10578"
"C00002323","C10579"
"C00002324","C10580"
"C00002325","C10581"
"C00002326","C10582"
"C00002327","C07592"
"C00002328","C10583"
"C00002329","C10584"
"C00002330","C10585"
"C00002331","C10586"
"C00002332","C10587"
"C00002333","C10588"
"C00002334","C10589"
"C00002335","C10590"
"C00002336","C10591"
"C00002337","C10592"
"C00002338","C10593"
"C00002339","C10594"
"C00002340","C10595"
"C00002341","C10596"
"C00002342","C10597"
"C00002343","C10598"
"C00002344","C10599"
"C00002345","C10600"
"C00002346","C10601"
"C00002347","C10602"
"C00002348","C10603"
"C00002349","C10604"
"C00002350","C10605"
"C00002351","C10606"
"C00002352","C10607"
"C00002353","C10608"
"C00002354","C10609"
"C00002355","C07474"
"C00002356","C10610"
"C00002357","C10611"
"C00002358","C10612"
"C00002359","C10613"
"C00002360","C10614"
"C00002361","C10615"
"C00002362","C10617"
"C00002363","C10618"
"C00002364","C10619"
"C00002365","C07394"
"C00002366","C10620"
"C00002367","C10623"
"C00002368","C10624"
"C00002369","C10625"
"C00002370","C10626"
"C00002371","C08573"
"C00002372","C08598"
"C00002374","C08604"
"C00002376","C04491"
"C00002376","C08620"
"C00002377","C08629"
"C00002378","C08639"
"C00002379","C08641"
"C00002380","C08642"
"C00002381","C08648"
"C00002382","C08649"
"C00002384","C08718"
"C00002385","C08722"
"C00002387","C08725"
"C00002388","C08728"
"C00002390","C08731"
"C00002391","C08732"
"C00002392","C08738"
"C00002393","C08739"
"C00002394","C08740"
"C00002395","C08741"
"C00002396","C08742"
"C00002397","C08743"
"C00002398","C06686"
"C00002399","C08744"
"C00002400","C08745"
"C00002401","C08761"
"C00002402","C08762"
"C00002403","C08844"
"C00002404","C08846"
"C00002405","C08928"
"C00002406","C08929"
"C00002407","C08948"
"C00002408","C08951"
"C00002409","C08974"
"C00002410","C08979"
"C00002411","C08981"
"C00002412","C08992"
"C00002413","C10101"
"C00002414","C08993"
"C00002415","C08994"
"C00002416","C08995"
"C00002417","C08996"
"C00002418","C08997"
"C00002419","C08998"
"C00002420","C08999"
"C00002421","C09000"
"C00002422","C09001"
"C00002423","C09002"
"C00002424","C09003"
"C00002425","C09004"
"C00002426","C09005"
"C00002427","C09006"
"C00002428","C09007"
"C00002429","C09008"
"C00002430","C09009"
"C00002431","C09010"
"C00002432","C09011"
"C00002433","C09012"
"C00002434","C09013"
"C00002435","C08485"
"C00002436","C09014"
"C00002437","C09015"
"C00002438","C09016"
"C00002439","C09017"
"C00002440","C09018"
"C00002441","C09029"
"C00002442","C09030"
"C00002443","C09031"
"C00002444","C09044"
"C00002445","C09047"
"C00002446","C09048"
"C00002447","C09049"
"C00002448","C09053"
"C00002449","C09056"
"C00002450","C09060"
"C00002451","C09116"
"C00002452","C09123"
"C00002453","C09141"
"C00002454","C09147"
"C00002455","C09158"
"C00002456","C09165"
"C00002457","C09181"
"C00002458","C09206"
"C00002459","C09210"
"C00002460","C05851"
"C00002461","C05073"
"C00002462","C03093"
"C00002463","C09216"
"C00002464","C09257"
"C00002465","C09258"
"C00002466","C09259"
"C00002467","C00796"
"C00002468","C09260"
"C00002469","C09261"
"C00002470","C09262"
"C00002471","C09263"
"C00002472","C09264"
"C00002473","C09265"
"C00002474","C09266"
"C00002475","C09267"
"C00002476","C09268"
"C00002477","C09269"
"C00002478","C09270"
"C00002479","C09271"
"C00002480","C09272"
"C00002481","C09273"
"C00002482","C09275"
"C00002484","C09277"
"C00002485","C09278"
"C00002486","C09279"
"C00002487","C05080"
"C00002488","C09280"
"C00002489","C09281"
"C00002490","C09282"
"C00002491","C09283"
"C00002492","C09284"
"C00002493","C09285"
"C00002494","C09307"
"C00002495","C09308"
"C00002496","C09309"
"C00002497","C09310"
"C00002498","C09311"
"C00002499","C01752"
"C00002500","C01527"
"C00002501","C09313"
"C00002502","C09314"
"C00002503","C09315"
"C00002504","C09316"
"C00002505","C09317"
"C00002506","C10198"
"C00002507","C10199"
"C00002508","C10200"
"C00002509","C10201"
"C00002510","C00814"
"C00002511","C10202"
"C00002512","C10203"
"C00002513","C10204"
"C00002514","C10205"
"C00002515","C10206"
"C00002518","C10216"
"C00002519","C10414"
"C00002520","C10415"
"C00002522","C10417"
"C00002523","C10418"
"C00002524","C10419"
"C00002525","C00858"
"C00002526","C06563"
"C00002528","C09126"
"C00002529","C10421"
"C00002530","C01701"
"C00002531","C10422"
"C00002532","C01263"
"C00002533","C10424"
"C00002534","C10425"
"C00002535","C10457"
"C00002536","C10461"
"C00002537","C10464"
"C00002539","C10467"
"C00002540","C10471"
"C00002541","C01590"
"C00002542","C10486"
"C00002543","C10491"
"C00002544","C10495"
"C00002545","C10498"
"C00002546","C10502"
"C00002547","C10503"
"C00002548","C10504"
"C00002549","C10505"
"C00002550","C10506"
"C00002551","C10507"
"C00002552","C10508"
"C00002553","C10509"
"C00002554","C10510"
"C00002555","C10511"
"C00002556","C10512"
"C00002557","C10513"
"C00002558","C05230"
"C00002559","C10514"
"C00002560","C10515"
"C00002561","C10518"
"C00002562","C10519"
"C00002563","C10520"
"C00002564","C10521"
"C00002565","C10522"
"C00002566","C10523"
"C00002568","C07593"
"C00002569","C10525"
"C00002570","C10526"
"C00002571","C10527"
"C00002572","C10529"
"C00002573","C10530"
"C00002574","C10531"
"C00002575","C10532"
"C00002576","C10533"
"C00002577","C10534"
"C00002578","C10535"
"C00002579","C10536"
"C00002580","C10537"
"C00002582","C10539"
"C00002583","C10540"
"C00002584","C00786"
"C00002585","C10541"
"C00002586","C10542"
"C00002588","C10544"
"C00002589","C10546"
"C00002590","C10548"
"C00002591","C10549"
"C00002592","C10550"
"C00002593","C10551"
"C00002594","C10552"
"C00002595","C10553"
"C00002596","C10555"
"C00002597","C10556"
"C00002598","C10557"
"C00002599","C10558"
"C00002600","C10559"
"C00002601","C10560"
"C00002602","C10562"
"C00002603","C10563"
"C00002604","C10574"
"C00002605","C10616"
"C00002606","C10621"
"C00002607","C10622"
"C00002608","C10627"
"C00002609","C10630"
"C00002610","C10640"
"C00002611","C10650"
"C00002612","C10657"
"C00002613","C10707"
"C00002614","C10728"
"C00002615","C10729"
"C00002616","C10730"
"C00002617","C10737"
"C00002618","C10870"
"C00002619","C10871"
"C00002620","C10875"
"C00002621","C10876"
"C00002622","C10878"
"C00002623","C10879"
"C00002624","C10880"
"C00002625","C10881"
"C00002626","C10883"
"C00002627","C10884"
"C00002628","C10885"
"C00002629","C10887"
"C00002630","C10888"
"C00002631","C10889"
"C00002632","C10890"
"C00002633","C10892"
"C00002634","C10893"
"C00002635","C10759"
"C00002636","C10761"
"C00002637","C10765"
"C00002638","C06186"
"C00002639","C10766"
"C00002640","C10770"
"C00002641","C07578"
"C00002642","C10784"
"C00002643","C10785"
"C00002644","C00090"
"C00002644","C15571"
"C00002645","C01468"
"C00002646","C10787"
"C00002647","C01424"
"C00002648","C00628"
"C00002649","C10792"
"C00002650","C10793"
"C00002651","C10794"
"C00002652","C01158"
"C00002653","C10800"
"C00002654","C01502"
"C00002654","C15572"
"C00002655","C10802"
"C00002656","C00530"
"C00002656","C15603"
"C00002657","C00633"
"C00002658","C10804"
"C00002659","C10805"
"C00002660","C06730"
"C00002661","C00727"
"C00002662","C10809"
"C00002663","C05853"
"C00002664","C00146"
"C00002664","C15584"
"C00002665","C02183"
"C00002666","C10812"
"C00002667","C10823"
"C00002668","C00230"
"C00002669","C00196"
"C00002670","C01108"
"C00002671","C01751"
"C00002672","C01451"
"C00002673","C10832"
"C00002674","C10833"
"C00002675","C06972"
"C00002676","C10834"
"C00002677","C10835"
"C00002678","C10836"
"C00002679","C10837"
"C00002680","C10838"
"C00002681","C10839"
"C00002682","C06672"
"C00002683","C00755"
"C00002684","C10840"
"C00002685","C07113"
"C00002686","C10664"
"C00002687","C10669"
"C00002688","C10671"
"C00002689","C11380"
"C00002690","C10672"
"C00002691","C10673"
"C00002692","C10674"
"C00002693","C10675"
"C00002694","C10680"
"C00002695","C10684"
"C00002696","C10693"
"C00002697","C10695"
"C00002698","C10700"
"C00002699","C10702"
"C00002700","C10704"
"C00002701","C10706"
"C00002702","C10708"
"C00002703","C10709"
"C00002704","C10712"
"C00002705","C10715"
"C00002706","C10717"
"C00002707","C10720"
"C00002708","C10721"
"C00002709","C10723"
"C00002710","C10726"
"C00002711","C10426"
"C00002712","C10427"
"C00002713","C10428"
"C00002714","C10429"
"C00002715","C10430"
"C00002716","C10431"
"C00002717","C10432"
"C00002718","C10433"
"C00002719","C03002"
"C00002720","C10434"
"C00002721","C10435"
"C00002722","C10436"
"C00002723","C10437"
"C00002724","C00852"
"C00002725","C00903"
"C00002726","C10439"
"C00002727","C00761"
"C00002728","C02666"
"C00002729","C03549"
"C00002730","C10441"
"C00002731","C10443"
"C00002732","C10444"
"C00002733","C10445"
"C00002734","C10446"
"C00002735","C10447"
"C00002736","C10448"
"C00002737","C10449"
"C00002738","C10450"
"C00002739","C10451"
"C00002740","C10452"
"C00002741","C10454"
"C00002742","C10455"
"C00002743","C01494"
"C00002744","C10456"
"C00002745","C10458"
"C00002746","C10459"
"C00002747","C10460"
"C00002748","C10462"
"C00002749","C10463"
"C00002750","C10466"
"C00002751","C10468"
"C00002752","C10470"
"C00002753","C10472"
"C00002754","C10473"
"C00002755","C10474"
"C00002756","C01198"
"C00002757","C10475"
"C00002758","C10476"
"C00002759","C10477"
"C00002760","C10478"
"C00002761","C10479"
"C00002762","C10480"
"C00002763","C10481"
"C00002764","C10482"
"C00002765","C10483"
"C00002766","C10484"
"C00002767","C10485"
"C00002768","C10487"
"C00002769","C10488"
"C00002770","C01850"
"C00002771","C10490"
"C00002772","C10492"
"C00002773","C10493"
"C00002774","C10494"
"C00002775","C05610"
"C00002776","C00482"
"C00002777","C00933"
"C00002778","C02325"
"C00002779","C10496"
"C00002780","C10497"
"C00002781","C10499"
"C00002782","C10500"
"C00002783","C10501"
"C00002784","C10290"
"C00002785","C01474"
"C00002786","C10291"
"C00002787","C10292"
"C00002788","C10293"
"C00002789","C10294"
"C00002790","C10295"
"C00002791","C10296"
"C00002792","C10297"
"C00002793","C10298"
"C00002794","C10300"
"C00002795","C10302"
"C00002796","C10303"
"C00002797","C10305"
"C00002798","C10306"
"C00002799","C10307"
"C00002800","C10308"
"C00002801","C10309"
"C00002802","C10310"
"C00002803","C10311"
"C00002804","C10312"
"C00002805","C10313"
"C00002806","C10314"
"C00002807","C10316"
"C00002808","C10317"
"C00002809","C10318"
"C00002810","C10320"
"C00002811","C10322"
"C00002812","C10323"
"C00002813","C10325"
"C00002814","C10327"
"C00002815","C10329"
"C00002816","C10332"
"C00002817","C10334"
"C00002818","C10335"
"C00002819","C10337"
"C00002820","C10338"
"C00002821","C10340"
"C00002822","C10342"
"C00002823","C10345"
"C00002824","C10346"
"C00002825","C10349"
"C00002826","C10351"
"C00002827","C10352"
"C00002828","C10354"
"C00002829","C07606"
"C00002830","C10355"
"C00002831","C10358"
"C00002832","C10360"
"C00002833","C10362"
"C00002834","C10365"
"C00002835","C10366"
"C00002836","C10367"
"C00002837","C10368"
"C00002838","C10369"
"C00002839","C10370"
"C00002840","C10371"
"C00002841","C10372"
"C00002842","C10373"
"C00002843","C10374"
"C00002844","C10376"
"C00002845","C10377"
"C00002846","C01938"
"C00002847","C10379"
"C00002848","C10381"
"C00002849","C10382"
"C00002850","C10384"
"C00002851","C10385"
"C00002852","C10387"
"C00002853","C10389"
"C00002854","C10390"
"C00002855","C10392"
"C00002856","C10394"
"C00002857","C10395"
"C00002858","C10397"
"C00002859","C10398"
"C00002860","C10399"
"C00002861","C10401"
"C00002862","C10402"
"C00002863","C10404"
"C00002863","C13940"
"C00002864","C10405"
"C00002865","C10406"
"C00002866","C11378"
"C00002867","C10407"
"C00002868","C02059"
"C00002869","C10244"
"C00002870","C10245"
"C00002871","C10247"
"C00002872","C10248"
"C00002873","C10249"
"C00002874","C10250"
"C00002875","C10251"
"C00002876","C10252"
"C00002877","C10253"
"C00002878","C10254"
"C00002879","C10255"
"C00002880","C10256"
"C00002881","C10258"
"C00002882","C10259"
"C00002883","C10260"
"C00002884","C10261"
"C00002885","C10264"
"C00002886","C10265"
"C00002887","C10266"
"C00002888","C10267"
"C00002889","C10269"
"C00002890","C10270"
"C00002891","C10271"
"C00002892","C10272"
"C00002893","C10273"
"C00002894","C10274"
"C00002895","C05901"
"C00002896","C10275"
"C00002897","C01745"
"C00002898","C10276"
"C00002899","C10281"
"C00002900","C10283"
"C00002901","C10285"
"C00002902","C10287"
"C00002903","C03582"
"C00002904","C10288"
"C00002905","C10289"
"C00002906","C10209"
"C00002907","C10210"
"C00002908","C10211"
"C00002909","C10212"
"C00002910","C10213"
"C00002911","C10214"
"C00002912","C10215"
"C00002913","C10217"
"C00002914","C10218"
"C00002915","C10219"
"C00002916","C10220"
"C00002917","C10221"
"C00002918","C10222"
"C00002919","C10223"
"C00002920","C10224"
"C00002921","C10225"
"C00002922","C10226"
"C00002923","C10227"
"C00002924","C10228"
"C00002925","C10229"
"C00002926","C10230"
"C00002928","C10232"
"C00002929","C10233"
"C00002930","C10234"
"C00002931","C10235"
"C00002932","C10236"
"C00002933","C04576"
"C00002934","C10237"
"C00002935","C10238"
"C00002936","C10239"
"C00002937","C10240"
"C00002938","C10241"
"C00002939","C10242"
"C00002940","C10243"
"C00002941","C10257"
"C00002942","C10052"
"C00002943","C10053"
"C00002944","C10054"
"C00002945","C10055"
"C00002946","C10056"
"C00002947","C10059"
"C00002948","C10060"
"C00002949","C10061"
"C00002950","C10062"
"C00002951","C10063"
"C00002952","C10064"
"C00002953","C10065"
"C00002954","C10066"
"C00002955","C10067"
"C00002956","C10069"
"C00002957","C10070"
"C00002958","C10071"
"C00002959","C10074"
"C00002960","C10075"
"C00002961","C10076"
"C00002962","C10077"
"C00002963","C10080"
"C00002964","C10081"
"C00002965","C10082"
"C00002966","C10083"
"C00002967","C10085"
"C00002968","C10086"
"C00002969","C10087"
"C00002970","C10088"
"C00002971","C10089"
"C00002972","C10090"
"C00002973","C10091"
"C00002974","C10092"
"C00002975","C10093"
"C00002976","C10094"
"C00002977","C10095"
"C00002978","C09916"
"C00002979","C09917"
"C00002980","C09918"
"C00002981","C09919"
"C00002983","C09921"
"C00002984","C09922"
"C00002985","C09923"
"C00002986","C09924"
"C00002987","C09925"
"C00002988","C09926"
"C00002989","C09927"
"C00002990","C09928"
"C00002991","C09929"
"C00002992","C09930"
"C00002993","C09931"
"C00002994","C09932"
"C00002995","C09936"
"C00002996","C09938"
"C00002997","C09941"
"C00002998","C09942"
"C00002999","C09944"
"C00003000","C09947"
"C00003001","C09948"
"C00003002","C09950"
"C00003003","C09951"
"C00003004","C02381"
"C00003005","C09952"
"C00003006","C09953"
"C00003007","C09954"
"C00003008","C09955"
"C00003009","C09956"
"C00003010","C09958"
"C00003011","C09959"
"C00003012","C09963"
"C00003013","C09964"
"C00003014","C09965"
"C00003015","C09966"
"C00003016","C09968"
"C00003017","C09969"
"C00003018","C09971"
"C00003019","C09973"
"C00003020","C09974"
"C00003021","C09976"
"C00003022","C09977"
"C00003023","C09979"
"C00003024","C09980"
"C00003025","C09981"
"C00003026","C09983"
"C00003027","C09836"
"C00003028","C01411"
"C00003029","C06076"
"C00003030","C09841"
"C00003031","C09842"
"C00003032","C09843"
"C00003032","C11394"
"C00003033","C09845"
"C00003034","C09846"
"C00003035","C01499"
"C00003036","C09847"
"C00003037","C09848"
"C00003038","C09849"
"C00003039","C06577"
"C00003040","C06575"
"C00003041","C09853"
"C00003042","C09854"
"C00003043","C06078"
"C00003044","C09858"
"C00003045","C09859"
"C00003046","C09861"
"C00003047","C03985"
"C00003047","C11388"
"C00003048","C09863"
"C00003049","C09868"
"C00003050","C02576"
"C00003051","C09875"
"C00003052","C09877"
"C00003053","C09884"
"C00003054","C09885"
"C00003055","C09887"
"C00003056","C07594"
"C00003057","C09894"
"C00003058","C09896"
"C00003060","C09898"
"C00003061","C09900"
"C00003062","C09904"
"C00003063","C09905"
"C00003064","C09906"
"C00003065","C09909"
"C00003066","C09911"
"C00003067","C09913"
"C00003068","C09765"
"C00003069","C09766"
"C00003070","C09767"
"C00003071","C09768"
"C00003072","C09769"
"C00003073","C09771"
"C00003074","C09772"
"C00003075","C09773"
"C00003076","C09775"
"C00003077","C06071"
"C00003078","C09776"
"C00003079","C09777"
"C00003080","C09778"
"C00003081","C09779"
"C00003082","C09782"
"C00003083","C09783"
"C00003084","C09784"
"C00003085","C09785"
"C00003085","C09804"
"C00003086","C09786"
"C00003087","C09787"
"C00003088","C01433"
"C00003089","C09788"
"C00003090","C09790"
"C00003091","C09791"
"C00003092","C09792"
"C00003093","C09794"
"C00003094","C09795"
"C00003095","C09796"
"C00003096","C09797"
"C00003097","C09798"
"C00003098","C01852"
"C00003099","C09799"
"C00003100","C09800"
"C00003101","C09801"
"C00003102","C09802"
"C00003104","C09622"
"C00003105","C09623"
"C00003106","C09625"
"C00003107","C09626"
"C00003108","C09627"
"C00003109","C09628"
"C00003110","C09629"
"C00003111","C09630"
"C00003112","C09631"
"C00003113","C09632"
"C00003114","C09633"
"C00003115","C09635"
"C00003116","C09637"
"C00003117","C09638"
"C00003118","C09639"
"C00003119","C09645"
"C00003120","C09647"
"C00003121","C09648"
"C00003123","C09651"
"C00003124","C09652"
"C00003125","C09653"
"C00003126","C09657"
"C00003127","C09658"
"C00003128","C09660"
"C00003129","C09662"
"C00003130","C09665"
"C00003131","C09666"
"C00003132","C01126"
"C00003132","C01493"
"C00003133","C09668"
"C00003134","C09672"
"C00003135","C09673"
"C00003136","C07667"
"C00003137","C09674"
"C00003138","C09675"
"C00003139","C09676"
"C00003140","C09677"
"C00003141","C09678"
"C00003142","C09679"
"C00003143","C09680"
"C00003144","C09681"
"C00003145","C09682"
"C00003146","C09683"
"C00003147","C09684"
"C00003148","C09685"
"C00003149","C09686"
"C00003150","C09687"
"C00003151","C09688"
"C00003152","C09689"
"C00003153","C09690"
"C00003154","C11350"
"C00003155","C09692"
"C00003156","C09693"
"C00003157","C09694"
"C00003158","C09695"
"C00003159","C09696"
"C00003160","C09697"
"C00003161","C09698"
"C00003162","C09699"
"C00003163","C09700"
"C00003164","C09701"
"C00003165","C09702"
"C00003166","C09704"
"C00003167","C06080"
"C00003168","C09705"
"C00003169","C09706"
"C00003170","C09707"
"C00003171","C09708"
"C00003172","C09709"
"C00003173","C09710"
"C00003174","C09711"
"C00003175","C09712"
"C00003176","C06079"
"C00003177","C09714"
"C00003178","C09715"
"C00003179","C09716"
"C00003180","C09717"
"C00003181","C09718"
"C00003182","C09719"
"C00003183","C09720"
"C00003184","C09721"
"C00003185","C09722"
"C00003186","C09723"
"C00003187","C09725"
"C00003188","C09729"
"C00003189","C09730"
"C00003190","C09733"
"C00003191","C09737"
"C00003192","C09738"
"C00003193","C09739"
"C00003194","C09740"
"C00003195","C09741"
"C00003196","C09742"
"C00003197","C09743"
"C00003198","C09744"
"C00003199","C09745"
"C00003200","C09746"
"C00003201","C09747"
"C00003202","C09748"
"C00003203","C09749"
"C00003204","C09750"
"C00003205","C09287"
"C00003206","C09288"
"C00003208","C09290"
"C00003209","C09291"
"C00003210","C09292"
"C00003211","C09293"
"C00003212","C09294"
"C00003213","C09295"
"C00003214","C09296"
"C00003215","C09297"
"C00003216","C09298"
"C00003217","C09299"
"C00003218","C09300"
"C00003219","C09303"
"C00003220","C09304"
"C00003221","C09344"
"C00003222","C09345"
"C00003223","C09346"
"C00003224","C09349"
"C00003225","C09350"
"C00003226","C09351"
"C00003227","C09353"
