"knapsack","kegg"
"C00000886","C06093"
"C00000894","C09183"
"C00000899","C11902"
"C00000900","C11894"
"C00000901","C15537"
"C00000905","C05421"
"C00000907","C00448"
"C00000908","C00353"
"C00000909","C15858"
"C00000911","C05432"
"C00000912","C05431"
"C00000914","C15903"
"C00000916","C06451"
"C00000917","C15968"
"C00000918","C08580"
"C00000919","C02094"
"C00000920","C08591"
"C00000922","C08583"
"C00000923","C15898"
"C00000925","C08592"
"C00000926","C05435"
"C00000927","C15892"
"C00000928","C15895"
"C00000929","C15967"
"C00000930","C15900"
"C00000931","C06098"
"C00000932","C15969"
"C00000934","C05430"
"C00000935","C09318"
"C00000936","C09319"
"C00000937","C09320"
"C00000938","C02906"
"C00000940","C09471"
"C00000942","C09479"
"C00000943","C09505"
"C00000944","C09524"
"C00000945","C09614"
"C00000946","C09616"
"C00000947","C06562"
"C00000950","C09641"
"C00000952","C09646"
"C00000953","C09650"
"C00000954","C09724"
"C00000955","C09726"
"C00000956","C09727"
"C00000957","C09728"
"C00000958","C09731"
"C00000960","C05631"
"C00000962","C09736"
"C00000963","C01378"
"C00000964","C09751"
"C00000965","C09752"
"C00000967","C09754"
"C00000968","C01709"
"C00000969","C09756"
"C00000970","C09755"
"C00000971","C09757"
"C00000972","C09758"
"C00000973","C05334"
"C00000974","C09759"
"C00000975","C09760"
"C00000976","C09761"
"C00000977","C09762"
"C00000978","C09763"
"C00000979","C09764"
"C00000981","C09774"
"C00000982","C00509"
"C00000983","C09789"
"C00000984","C09793"
"C00000986","C09805"
"C00000987","C09806"
"C00000988","C09807"
"C00000989","C09808"
"C00000990","C01604"
"C00000991","C09826"
"C00000992","C09827"
"C00000993","C09828"
"C00000994","C09829"
"C00000995","C09830"
"C00000996","C09831"
"C00000997","C09832"
"C00000998","C09099"
"C00000999","C09833"
"C00001000","C09834"
"C00001001","C09835"
"C00001002","C08600"
"C00001003","C07610"
"C00001004","C08717"
"C00001005","C08719"
"C00001006","C09939"
"C00001009","C09970"
"C00001010","C09972"
"C00001012","C09978"
"C00001014","C10017"
"C00001015","C10018"
"C00001016","C10019"
"C00001017","C04608"
"C00001019","C04858"
"C00001022","C10023"
"C00001024","C10025"
"C00001026","C10027"
"C00001028","C10029"
"C00001029","C04293"
"C00001031","C10031"
"C00001033","C10033"
"C00001034","C10034"
"C00001035","C10035"
"C00001036","C10038"
"C00001039","C10042"
"C00001040","C10043"
"C00001040","C15608"
"C00001042","C10045"
"C00001043","C10046"
"C00001044","C10048"
"C00001045","C10049"
"C00001046","C10050"
"C00001048","C02806"
"C00001049","C10057"
"C00001050","C10058"
"C00001051","C10068"
"C00001053","C10078"
"C00001054","C10079"
"C00001055","C01821"
"C00001058","C05990"
"C00001059","C01714"
"C00001060","C10098"
"C00001062","C05902"
"C00001063","C10099"
"C00001064","C10100"
"C00001067","C10103"
"C00001068","C10104"
"C00001070","C10106"
"C00001071","C10107"
"C00001075","C10111"
"C00001076","C10112"
"C00001077","C10113"
"C00001078","C10114"
"C00001079","C10115"
"C00001085","C10121"
"C00001092","C10177"
"C00001094","C10179"
"C00001096","C10180"
"C00001098","C10182"
"C00001099","C10183"
"C00001100","C10185"
"C00001102","C10187"
"C00001104","C10189"
"C00001105","C10190"
"C00001110","C01460"
"C00001111","C10197"
"C00001112","C08346"
"C00001113","C02479"
"C00001114","C08234"
"C00001115","C01801"
"C00001115","C08347"
"C00001116","C08235"
"C00001117","C00095"
"C00001117","C02336"
"C00001117","C10906"
"C00001118","C01018"
"C00001119","C00984"
"C00001120","C00333"
"C00001121","C08349"
"C00001122","C00031"
"C00001122","C00267"
"C00001123","C00191"
"C00001123","C08350"
"C00001123","C16245"
"C00001124","C01906"
"C00001124","C08351"
"C00001126","C00159"
"C00001126","C00936"
"C00001127","C08237"
"C00001128","C08352"
"C00001129","C02476"
"C00001131","C00309"
"C00001131","C05052"
"C00001131","C08354"
"C00001132","C02076"
"C00001133","C08238"
"C00001134","C00185"
"C00001134","C06422"
"C00001135","C08239"
"C00001136","C00243"
"C00001137","C02048"
"C00001138","C08241"
"C00001139","C08242"
"C00001140","C00208"
"C00001141","C08243"
"C00001142","C05402"
"C00001143","C08244"
"C00001144","C03848"
"C00001145","C00492"
"C00001146","C08246"
"C00001147","C08247"
"C00001148","C08248"
"C00001149","C08250"
"C00001150","C01613"
"C00001151","C00089"
"C00001152","C01083"
"C00001153","C08251"
"C00001154","C08252"
"C00001155","C01625"
"C00001156","C01904"
"C00001158","C04234"
"C00001159","C08254"
"C00001160","C01697"
"C00001161","C00503"
"C00001162","C01235"
"C00001163","C00116"
"C00001164","C00137"
"C00001165","C00392"
"C00001167","C08255"
"C00001168","C03844"
"C00001169","C08257"
"C00001170","C08258"
"C00001171","C00474"
"C00001172","C03365"
"C00001173","C00794"
"C00001174","C08259"
"C00001175","C08260"
"C00001176","C00033"
"C00001177","C00417"
"C00001178","C06104"
"C00001179","C00072"
"C00001180","C00246"
"C00001181","C00815"
"C00001181","C02614"
"C00001182","C00058"
"C00001183","C00122"
"C00001184","C00489"
"C00001185","C00258"
"C00001186","C00048"
"C00001187","C03761"
"C00001188","C00311"
"C00001188","C00451"
"C00001189","C08262"
"C00001191","C00186"
"C00001192","C00149"
"C00001193","C00383"
"C00001194","C08276"
"C00001195","C00418"
"C00001195","C02104"
"C00001196","C06108"
"C00001197","C00036"
"C00001198","C00209"
"C00001199","C02656"
"C00001200","C00022"
"C00001201","C00296"
"C00001202","C08277"
"C00001203","C00493"
"C00001204","C08278"
"C00001205","C00042"
"C00001206","C00898"
"C00001207","C08279"
"C00001208","C00803"
"C00001209","C06425"
"C00001211","C08281"
"C00001212","C08282"
"C00001213","C01571"
"C00001214","C08314"
"C00001215","C06428"
"C00001216","C08315"
"C00001217","C08316"
"C00001218","C01585"
"C00001219","C08317"
"C00001221","C02679"
"C00001222","C08319"
"C00001223","C08320"
"C00001224","C01595"
"C00001226","C06426"
"C00001227","C08321"
"C00001228","C06424"
"C00001229","C08322"
"C00001230","C08323"
"C00001231","C06423"
"C00001232","C00712"
"C00001233","C00249"
"C00001234","C08362"
"C00001235","C08363"
"C00001236","C08364"
"C00001237","C08365"
"C00001238","C01530"
"C00001239","C08366"
"C00001240","C08367"
"C00001241","C08368"
"C00001242","C07600"
"C00001243","C08369"
"C00001244","C08370"
"C00001245","C08371"
"C00001246","C08372"
"C00001247","C08373"
"C00001248","C08374"
"C00001249","C08375"
"C00001250","C08376"
"C00001251","C08377"
"C00001252","C08378"
"C00001253","C08379"
"C00001254","C08380"
"C00001255","C08381"
"C00001256","C08382"
"C00001257","C08383"
"C00001258","C00409"
"C00001259","C00829"
"C00001260","C08384"
"C00001261","C08385"
"C00001262","C08386"
"C00001263","C08387"
"C00001264","C00756"
"C00001265","C08388"
"C00001266","C08389"
"C00001267","C08390"
"C00001268","C08391"
"C00001269","C08392"
"C00001270","C08393"
"C00001271","C08394"
"C00001272","C08395"
"C00001273","C08396"
"C00001274","C08397"
"C00001276","C08399"
"C00001277","C08402"
"C00001278","C07289"
"C00001279","C08445"
"C00001280","C08446"
"C00001281","C08447"
"C00001282","C08448"
"C00001283","C08449"
"C00001284","C08450"
"C00001285","C08451"
"C00001286","C08452"
"C00001287","C08453"
"C00001288","C08454"
"C00001289","C08455"
"C00001290","C08456"
"C00001291","C08457"
"C00001292","C08458"
"C00001293","C08459"
"C00001294","C08460"
"C00001295","C08461"
"C00001296","C08462"
"C00001297","C08463"
"C00001298","C08464"
"C00001299","C08465"
"C00001300","C08466"
"C00001301","C08467"
"C00001302","C08470"
"C00001303","C08471"
"C00001304","C08476"
"C00001305","C08482"
"C00001306","C08483"
"C00001307","C08484"
"C00001308","C00849"
"C00001309","C08486"
"C00001310","C08487"
"C00001311","C08488"
"C00001312","C08489"
"C00001313","C08490"
"C00001316","C08498"
"C00001317","C08499"
"C00001318","C08501"
"C00001319","C08503"
"C00001320","C08505"
"C00001321","C08509"
"C00001322","C08512"
"C00001323","C08545"
"C00001324","C08546"
"C00001325","C08553"
"C00001326","C08558"
"C00001327","C08561"
"C00001328","C08570"
"C00001329","C08571"
"C00001330","C08572"
"C00001331","C02983"
"C00001332","C00041"
"C00001333","C00099"
"C00001334","C08263"
"C00001335","C08264"
"C00001336","C08265"
"C00001337","C00334"
"C00001338","C08266"
"C00001339","C04209"
"C00001340","C00062"
"C00001341","C00152"
"C00001342","C00049"
"C00001343","C08267"
"C00001344","C08268"
"C00001345","C08269"
"C00001346","C08270"
"C00001347","C00308"
"C00001348","C00327"
"C00001349","C08271"
"C00001350","C02512"
"C00001351","C00097"
"C00001351","C00736"
"C00001352","C00491"
"C00001353","C03283"
"C00001354","C08273"
"C00001355","C04022"
"C00001356","C08275"
"C00001357","C00355"
"C00001358","C00025"
"C00001358","C00302"
"C00001359","C00064"
"C00001359","C00303"
"C00001360","C08280"
"C00001361","C00037"
"C00001363","C00135"
"C00001363","C00768"
"C00001364","C01924"
"C00001365","C00155"
"C00001366","C00263"
"C00001367","C08283"
"C00001368","C08284"
"C00001369","C08286"
"C00001370","C01015"
"C00001370","C01157"
"C00001371","C00643"
"C00001371","C01017"
"C00001372","C08287"
"C00001373","C08288"
"C00001374","C00407"
"C00001375","C08289"
"C00001376","C08290"
"C00001377","C00123"
"C00001378","C00047"
"C00001379","C00073"
"C00001380","C08291"
"C00001381","C08292"
"C00001382","C08293"
"C00001383","C04771"
"C00001384","C00077"
"C00001384","C01602"
"C00001385","C08294"
"C00001386","C00079"
"C00001388","C00148"
"C00001389","C08295"
"C00001390","C01162"
"C00001391","C08296"
"C00001392","C08297"
"C00001393","C00065"
"C00001393","C00716"
"C00001394","C00188"
"C00001395","C08298"
"C00001396","C00078"
"C00001396","C00806"
"C00001397","C00082"
"C00001397","C01536"
"C00001398","C00183"
"C00001399","C03584"
"C00001400","C00179"
"C00001401","C00568"
"C00001402","C08299"
"C00001403","C01672"
"C00001404","C00436"
"C00001405","C08300"
"C00001406","C08301"
"C00001407","C08302"
"C00001408","C03758"
"C00001409","C01575"
"C00001410","C08303"
"C00001411","C08304"
"C00001412","C08305"
"C00001413","C08306"
"C00001414","C00388"
"C00001415","C08307"
"C00001416","C08308"
"C00001417","C06199"
"C00001418","C00463"
"C00001419","C06546"
"C00001420","C08309"
"C00001421","C08310"
"C00001422","C07473"
"C00001423","C08311"
"C00001424","C00547"
"C00001425","C04227"
"C00001426","C05332"
"C00001427","C08312"
"C00001428","C00134"
"C00001429","C00780"
"C00001430","C08313"
"C00001431","C00315"
"C00001432","C00750"
"C00001433","C00565"
"C00001433","C04629"
"C00001434","C00398"
"C00001435","C00483"
"C00001436","C08324"
"C00001437","C08325"
"C00001438","C08326"
"C00001439","C08327"
"C00001440","C08328"
"C00001441","C08329"
"C00001442","C05143"
"C00001443","C08330"
"C00001444","C08331"
"C00001445","C08332"
"C00001446","C01594"
"C00001447","C08333"
"C00001448","C08334"
"C00001449","C08335"
"C00001450","C08336"
"C00001451","C08337"
"C00001452","C08338"
"C00001453","C08339"
"C00001454","C00844"
"C00001455","C08340"
"C00001456","C08341"
"C00001457","C08342"
"C00001458","C01870"
"C00001459","C08344"
"C00001460","C08345"
"C00001463","C08403"
"C00001465","C08404"
"C00001466","C08405"
"C00001467","C08406"
"C00001468","C08407"
"C00001469","C08408"
"C00001471","C08410"
"C00001473","C08412"
"C00001474","C08413"
"C00001475","C08414"
"C00001477","C08416"
"C00001479","C08418"
"C00001481","C08420"
"C00001486","C08425"
"C00001487","C08426"
"C00001488","C08427"
"C00001489","C08428"
"C00001490","C00147"
"C00001491","C00002"
"C00001492","C07481"
"C00001493","C08429"
"C00001494","C08430"
"C00001495","C08431"
"C00001496","C08432"
"C00001497","C00575"
"C00001498","C00380"
"C00001500","C00016"
"C00001501","C00242"
"C00001502","C00262"
"C00001504","C08272"
"C00001507","C01610"
"C00001508","C02067"
"C00001509","C07480"
"C00001510","C07130"
"C00001511","C00178"
"C00001513","C00106"
"C00001514","C00029"
"C00001515","C08437"
"C00001516","C08438"
"C00001517","C05086"
"C00001518","C00051"
"C00001519","C08439"
"C00001520","C08440"
"C00001521","C08441"
"C00001523","C08443"
"C00001524","C08468"
"C00001525","C01550"
"C00001526","C08469"
"C00001527","C08472"
"C00001528","C05306"
"C00001530","C00919"
"C00001531","C08473"
"C00001532","C08474"
"C00001533","C08475"
"C00001534","C02823"
"C00001535","C01418"
"C00001536","C08477"
"C00001537","C08478"
"C00001538","C04831"
"C00001538","C15768"
"C00001539","C00504"
"C00001540","C05663"
"C00001540","C08480"
"C00001541","C08481"
"C00001542","C08494"
"C00001543","C08495"
"C00001544","C04020"
"C00001545","C08504"
"C00001546","C08506"
"C00001547","C08507"
"C00001548","C01682"
"C00001549","C04137"
"C00001550","C00864"
"C00001551","C00314"
"C00001552","C00255"
"C00001553","C08510"
"C00001554","C08511"
"C00001555","C01004"
"C00001557","C08513"
"C00001558","C08514"
"C00001559","C08515"
"C00001560","C08516"
"C00001561","C08517"
"C00001562","C08518"
"C00001563","C08519"
"C00001564","C08520"
"C00001565","C08521"
"C00001566","C08522"
"C00001567","C08523"
"C00001568","C08524"
"C00001569","C08525"
"C00001570","C08526"
"C00001571","C08527"
"C00001572","C08528"
"C00001573","C08529"
"C00001574","C08530"
"C00001575","C08531"
"C00001576","C08532"
"C00001577","C08533"
"C00001578","C08534"
"C00001579","C08535"
"C00001580","C08536"
"C00001581","C08537"
"C00001582","C08538"
"C00001583","C08539"
"C00001584","C08540"
"C00001585","C08541"
"C00001586","C08542"
"C00001587","C08543"
"C00001588","C08544"
"C00001589","C08547"
"C00001590","C08548"
"C00001591","C08549"
"C00001592","C08550"
"C00001593","C08551"
